x,y,p,u,v
7.15,0.45,1517.59,0.764819,-0.00113923
7.25,0.45,1477.22,0.765249,-0.00100285
7.35,0.45,1436.84,0.765627,-0.000866119
7.45,0.45,1396.44,0.765954,-0.000732633
7.55,0.45,1356.04,0.766233,-0.000605004
7.65,0.45,1315.64,0.766464,-0.000485052
7.75,0.45,1275.25,0.766651,-0.000373965
7.85,0.45,1234.87,0.766797,-0.000272427
7.95,0.45,1194.5,0.766906,-0.000180731
8.05,0.45,1154.16,0.766981,-9.88641e-05
8.15,0.45,1113.83,0.767025,-2.65832e-05
8.25,0.45,1073.52,0.767043,3.65265e-05
8.35,0.45,1033.23,0.767037,9.10058e-05
8.45,0.45,992.973,0.76701,0.000137485
8.55,0.45,952.735,0.766966,0.000176657
8.65,0.45,912.522,0.766907,0.000209258
8.75,0.45,872.332,0.766836,0.000236057
8.85,0.45,832.167,0.766754,0.000257846
8.95,0.45,792.025,0.766663,0.000275446
